Date,GBP,IDR,BRZ,EU,JPY,RUB,INR,CNY
2011-09-19 00:00:00,0.64232,9023.0,1.8207,0.73676,76.402,31.681,48.636,6.3875
2011-09-26 00:00:00,0.64108,9006.0,1.8251,0.73714,76.566,32.05,49.041,6.3948
2011-10-03 00:00:00,0.64774,8905.0,1.853,0.75131,76.724,32.536,49.284,6.3701
2011-10-10 00:00:00,0.63724,8899.0,1.7601,0.72993,76.818,31.327,49.082,6.37
2011-10-17 00:00:00,0.63321,8824.0,1.7674,0.72585,76.867,31.12,49.469,6.3799
2011-10-24 00:00:00,0.62471,8836.0,1.7421,0.71531,75.937,30.374,49.421,6.362
2011-10-31 00:00:00,0.62487,8919.0,1.7283,0.7248,78.053,30.548,49.079,6.353
2011-11-07 00:00:00,0.62525,8946.0,1.7516,0.73067,77.744,30.449,49.779,6.3438
2011-11-14 00:00:00,0.63139,9003.0,1.7717,0.73823,76.916,30.729,50.802,6.3522
2011-11-21 00:00:00,0.64235,9075.0,1.8416,0.74649,77.128,31.299,52.288,6.3634
2011-11-28 00:00:00,0.63884,9079.0,1.8203,0.7451,77.751,31.007,51.762,6.3654
2011-12-05 00:00:00,0.63864,9032.0,1.794,0.74621,77.696,31.263,51.642,6.3457
2011-12-12 00:00:00,0.64313,9100.0,1.8462,0.76324,77.874,31.736,53.241,6.3518
2011-12-19 00:00:00,0.63957,9068.0,1.8577,0.76605,77.968,31.721,52.817,6.3376
2011-12-26 00:00:00,0.64246,9168.0,1.8656,0.76965,77.673,31.856,52.996,6.3166
2012-01-02 00:00:00,0.64406,9153.0,1.8452,0.77513,76.901,31.953,53.001,6.3044
2012-01-09 00:00:00,0.6496,9159.0,1.8033,0.78419,76.866,31.706,51.826,6.3151
2012-01-16 00:00:00,0.64913,9055.0,1.7736,0.77997,76.858,31.501,50.602,6.3193
2012-01-23 00:00:00,0.64027,8957.0,1.7522,0.76628,77.418,30.632,49.998,6.312
2012-01-30 00:00:00,0.63333,8983.0,1.7367,0.76086,76.299,30.26,49.262,6.31
2012-02-06 00:00:00,0.63215,8953.0,1.725,0.75867,77.05,29.967,49.279,6.3035
2012-02-13 00:00:00,0.63527,9009.0,1.7206,0.76156,78.463,30.038,49.313,6.2962
2012-02-20 00:00:00,0.63394,9050.0,1.7118,0.75267,80.05,29.63,49.152,6.2975
2012-02-27 00:00:00,0.62926,9080.0,1.7096,0.74833,80.79,29.159,49.211,6.2985
2012-03-05 00:00:00,0.63355,9152.0,1.7545,0.75844,81.34,29.529,50.157,6.3127
2012-03-12 00:00:00,0.63741,9164.0,1.8074,0.76441,83.11,29.496,50.099,6.3294
2012-03-19 00:00:00,0.63128,9153.0,1.8209,0.75781,83.33,29.319,50.771,6.313
2012-03-26 00:00:00,0.62783,9168.0,1.8204,0.75103,82.6,29.193,51.003,6.2994
2012-04-02 00:00:00,0.62757,9144.0,1.8296,0.75694,82.23,29.433,50.96,6.2974
2012-04-09 00:00:00,0.62849,9156.0,1.8279,0.76127,81.01,29.588,51.462,6.3058
2012-04-16 00:00:00,0.62588,9178.0,1.8624,0.76307,81.27,29.563,51.839,6.3048
2012-04-23 00:00:00,0.61921,9190.0,1.8807,0.75827,81.05,29.392,52.574,6.2982
2012-04-30 00:00:00,0.61753,9216.0,1.9101,0.76046,80.24,29.506,53.114,6.2862
2012-05-07 00:00:00,0.61973,9213.0,1.9454,0.77024,79.797,30.139,53.373,6.3036
2012-05-14 00:00:00,0.6272,9272.0,1.9912,0.78315,79.967,30.807,54.235,6.323
2012-05-21 00:00:00,0.63556,9366.0,2.0441,0.79014,79.52,31.495,55.471,6.3273
2012-05-28 00:00:00,0.64292,9512.0,2.0008,0.80321,78.988,32.779,55.762,6.3495
2012-06-04 00:00:00,0.6475,9429.0,2.0346,0.80109,78.859,32.872,55.415,6.367
2012-06-11 00:00:00,0.64402,9430.0,2.0509,0.79726,79.335,32.664,55.677,6.3536
2012-06-18 00:00:00,0.6379,9439.0,2.0418,0.79177,79.446,32.717,56.31,6.361
2012-06-25 00:00:00,0.64179,9467.0,2.0694,0.80064,79.544,33.039,56.74,6.3595
2012-07-02 00:00:00,0.64048,9385.0,2.0116,0.79962,79.81,32.48,54.953,6.3543
2012-07-09 00:00:00,0.64542,9446.0,2.035,0.81699,79.379,32.838,55.61,6.37
2012-07-16 00:00:00,0.64006,9459.0,2.0271,0.81726,78.849,32.301,55.241,6.3746
2012-07-23 00:00:00,0.64153,9482.0,2.0331,0.82095,78.22,32.549,55.821,6.3853
2012-07-30 00:00:00,0.63972,9459.0,2.0404,0.81407,78.232,32.276,55.66,6.3698
2012-08-06 00:00:00,0.6401,9473.0,2.0274,0.81018,78.409,31.738,55.317,6.3642
2012-08-13 00:00:00,0.63682,9497.0,2.0222,0.81189,78.932,31.862,55.634,6.3615
2012-08-20 00:00:00,0.63314,9498.0,2.0187,0.80341,79.071,31.882,55.464,6.3561
2012-08-27 00:00:00,0.63162,9544.0,2.0426,0.79643,78.608,32.13,55.628,6.3522
2012-09-03 00:00:00,0.6285,9570.0,2.0338,0.79277,78.532,32.18,55.606,6.3449
2012-09-10 00:00:00,0.62175,9561.0,2.0221,0.77561,77.965,31.379,55.142,6.3291
2012-09-17 00:00:00,0.61642,9524.0,2.0256,0.76823,78.421,31.034,53.974,6.3124
2012-09-24 00:00:00,0.61713,9579.0,2.0289,0.77525,77.766,31.131,53.249,6.3017
2012-10-01 00:00:00,0.61965,9586.0,2.0236,0.77322,78.319,31.099,52.13,6.3207
2012-10-08 00:00:00,0.62343,9599.0,2.0344,0.77292,78.327,31.076,52.76,6.2842
2012-10-15 00:00:00,0.62081,9599.0,2.0331,0.76581,78.963,30.824,53.194,6.2586
2012-10-22 00:00:00,0.62279,9617.0,2.027,0.7703,79.918,31.253,53.677,6.2492
2012-10-29 00:00:00,0.62182,9615.0,2.0308,0.77304,79.909,31.374,53.874,6.2404
2012-11-05 00:00:00,0.62631,9623.0,2.0391,0.78425,79.915,31.555,54.48,6.2541
2012-11-12 00:00:00,0.63025,9624.0,2.0616,0.78542,80.29,31.694,54.901,6.2309
2012-11-19 00:00:00,0.62782,9632.0,2.0902,0.77906,81.97,31.291,55.189,6.2318
2012-11-26 00:00:00,0.62447,9612.0,2.0898,0.77166,82.17,30.983,55.14,6.2263
2012-12-03 00:00:00,0.62184,9620.0,2.0957,0.76699,82.19,30.875,54.524,6.2283
2012-12-10 00:00:00,0.62056,9635.0,2.0779,0.76781,82.95,30.699,54.356,6.2481
2012-12-17 00:00:00,0.61573,9649.0,2.0794,0.75649,84.09,30.757,54.845,6.2327
2012-12-24 00:00:00,0.61876,9653.0,2.0572,0.75632,85.46,30.531,54.893,6.2347
2012-12-31 00:00:00,0.61885,9680.0,2.0455,0.76092,87.1,30.384,54.722,6.2328
2013-01-07 00:00:00,0.62249,9658.0,2.0328,0.76254,88.04,30.344,54.889,6.2244
2013-01-14 00:00:00,0.62472,9644.0,2.0396,0.75036,89.05,30.295,54.441,6.2193
2013-01-21 00:00:00,0.63103,9629.0,2.0391,0.74862,89.53,30.159,53.726,6.2207
2013-01-28 00:00:00,0.6338,9703.0,1.9974,0.73954,91.17,30.071,53.474,6.2246
2013-02-04 00:00:00,0.63586,9685.0,1.9822,0.74047,93.13,30.058,53.271,6.2329
2013-02-11 00:00:00,0.64229,9646.0,1.9683,0.74671,93.5,30.116,53.948,6.2328
2013-02-18 00:00:00,0.65085,9696.0,1.9635,0.7525,93.45,30.22,54.315,6.2414
2013-02-25 00:00:00,0.66061,9695.0,1.9771,0.76214,92.5,30.536,54.21,6.229
2013-03-04 00:00:00,0.66348,9698.0,1.9687,0.76717,94.09,30.712,54.694,6.2209
2013-03-11 00:00:00,0.66828,9697.0,1.9598,0.76864,96.1,30.726,54.257,6.2164
2013-03-18 00:00:00,0.66049,9730.0,1.9913,0.7731,95.22,30.885,54.287,6.2162
2013-03-25 00:00:00,0.66021,9733.0,2.0142,0.77869,94.41,30.934,54.364,6.2141
2013-04-01 00:00:00,0.65948,9747.0,2.0179,0.77773,94.6,31.485,54.589,6.198
2013-04-08 00:00:00,0.65205,9715.0,1.9809,0.76546,99.05,31.027,54.53,6.1976
2013-04-15 00:00:00,0.65348,9715.0,1.9944,0.76336,98.23,31.452,54.176,6.1802
